month,gross1,gross5,debt1,debt5,net1,net5,ltv1,ltv5
30,2665.338582181429,2117.2914959601612,175.51072401115132,167.3450429981074,2489.8278581702775,1949.9464529620539,0.06584931655005936,0.07903731881859698
31,2687.596740023072,2078.306655425907,175.94358080449516,167.75776101919848,2511.653159218577,1910.5488944067088,0.06546502240622035,0.08071848328119793
32,2593.388741728618,1938.0505976501722,176.37750513946415,168.17149691426948,2417.0112365891537,1769.8791007359027,0.0680104383509817,0.08677353270248586
33,2622.2328687838876,1909.7100990222216,176.81249964890395,168.5862531936722,2445.4203691349835,1741.1238458285493,0.06742822186151005,0.08827845298613071
34,2725.94704303637,2043.4929440954388,177.2485669721535,169.0020323739497,2548.6984760642163,1874.490911721489,0.06502274775474742,0.08270252797411014
35,2727.6570357858445,1975.2813564424353,177.68570975506105,169.41883697785147,2549.9713260307835,1805.8625194645838,0.06514224751275205,0.08576947097955803
36,2824.9766358564384,2090.8904323971233,178.1239306500003,169.8366695343488,2646.8527052064383,1921.0537628627744,0.06305324029556056,0.08122695809537842
37,2740.9569225093833,2041.3411846726476,234.6512201096467,236.16175831007612,2506.3057023997367,1805.1794263625716,0.08560923310491882,0.11568950848750321
38,2719.0372026134446,1980.9294634298958,235.2299333208373,236.74419691597035,2483.807269292607,1744.1852665139254,0.08651221582946435,0.11951167433597447
39,2724.4768431179536,2012.5048983342056,235.8100737949275,237.3280719725925,2488.666769323026,1775.1768263616132,0.0865524235930231,0.11792670525623772
40,2761.396877822595,2031.8002135655406,236.3916450519326,237.91338702261763,2525.005232770662,1793.886826542923,0.08560582035507014,0.1170948725342986
41,2778.1542889396837,2144.5475336484133,236.97465062054934,238.5001456174579,2541.1796383191345,1906.0473880309553,0.08529931241183641,0.11121233820903438
42,2761.4188973137684,2120.7427211186123,237.55909403817702,239.08835131728426,2523.8598032755913,1881.654369801328,0.08602790915542292,0.11273802754875147
43,2802.5474922643957,2142.493554594505,238.14497885093922,239.678007691048,2564.4025134134563,1902.815546903457,0.08497446680502937,0.11186871819383849
44,2814.4323840151596,2102.521091384472,238.7323086137052,240.26911831650241,2575.7000754014543,1862.2519730679696,0.08482431838462647,0.11427667446526757
45,2758.3011596144893,2086.199027051002,239.32108689011145,240.86168678022446,2518.980072724378,1845.3373402707773,0.08676394383402278,0.11545479777195584
46,2797.564958141566,2042.7757787013488,239.9113172525834,241.45571667763662,2557.6536408889824,1801.3200620237121,0.08575719271661077,0.11819981379999372
47,2671.5546690140673,1926.1706886864056,240.50300328235699,242.05121161302858,2431.0516657317103,1684.119477073377,0.09002361286924898,0.12566446630859113
48,2684.730663118683,1834.500527842209,241.0961485695005,242.64817519957927,2443.6345145491823,1591.8523526426297,0.08980273212562569,0.13226934062809392
49,2685.990547264823,1885.399192159375,297.7787445066967,315.73870926870217,2388.2118027581264,1569.6604828906727,0.11086366063720084,0.16746517691411655
50,2579.34925693382,1897.4461009518354,298.5131472231081,316.51740610331774,2280.8361097107118,1580.9286948485178,0.1157319608504523,0.16681233050284794
